"id";"link";"uf2"
"0077259949635602";"http://lattes.cnpq.br/0077259949635602";""
"0089101952219247";"http://lattes.cnpq.br/0089101952219247";""
"0092894069049237";"http://lattes.cnpq.br/0092894069049237";""
"0190617512994905";"http://lattes.cnpq.br/0190617512994905";""
"0329951895230626";"http://lattes.cnpq.br/0329951895230626";""
"0680473750930994";"http://lattes.cnpq.br/0680473750930994";""
"1266637467163132";"http://lattes.cnpq.br/1266637467163132";""
"1355114687227347";"http://lattes.cnpq.br/1355114687227347";""
"1536753097499437";"http://lattes.cnpq.br/1536753097499437";""
"1805139819551145";"http://lattes.cnpq.br/1805139819551145";""
"1954400993734545";"http://lattes.cnpq.br/1954400993734545";""
"2002434331415011";"http://lattes.cnpq.br/2002434331415011";""
"2020402961588012";"http://lattes.cnpq.br/2020402961588012";""
"2186095611183160";"http://lattes.cnpq.br/2186095611183160";""
"2196273192292250";"http://lattes.cnpq.br/2196273192292250";""
"2223056157069455";"http://lattes.cnpq.br/2223056157069455";""
"2282561069385362";"http://lattes.cnpq.br/2282561069385362";""
"2575812370286952";"http://lattes.cnpq.br/2575812370286952";""
"2629228173812678";"http://lattes.cnpq.br/2629228173812678";""
"3026025219967455";"http://lattes.cnpq.br/3026025219967455";""
"3142846318642008";"http://lattes.cnpq.br/3142846318642008";""
"3756109927499638";"http://lattes.cnpq.br/3756109927499638";""
"4131533690157954";"http://lattes.cnpq.br/4131533690157954";""
"4134780149223488";"http://lattes.cnpq.br/4134780149223488";""
"4171669232752740";"http://lattes.cnpq.br/4171669232752740";""
"4355439316048713";"http://lattes.cnpq.br/4355439316048713";""
"4416964644873091";"http://lattes.cnpq.br/4416964644873091";""
"4645270353830394";"http://lattes.cnpq.br/4645270353830394";""
"5000402126927493";"http://lattes.cnpq.br/5000402126927493";""
"5221674282706682";"http://lattes.cnpq.br/5221674282706682";""
"5301459247069010";"http://lattes.cnpq.br/5301459247069010";""
"5368653344209125";"http://lattes.cnpq.br/5368653344209125";""
"5368789619037930";"http://lattes.cnpq.br/5368789619037930";""
"5371769448486561";"http://lattes.cnpq.br/5371769448486561";""
"5603383846224202";"http://lattes.cnpq.br/5603383846224202";""
"5910516892462596";"http://lattes.cnpq.br/5910516892462596";""
"6133230070250343";"http://lattes.cnpq.br/6133230070250343";""
"6498059848953378";"http://lattes.cnpq.br/6498059848953378";""
"6499587290171457";"http://lattes.cnpq.br/6499587290171457";""
"7435813494102362";"http://lattes.cnpq.br/7435813494102362";""
"7772124774985352";"http://lattes.cnpq.br/7772124774985352";""
"7813129454712422";"http://lattes.cnpq.br/7813129454712422";""
"7885798612121184";"http://lattes.cnpq.br/7885798612121184";""
"7981754738550195";"http://lattes.cnpq.br/7981754738550195";""
"8035276186785716";"http://lattes.cnpq.br/8035276186785716";""
"8211316125996143";"http://lattes.cnpq.br/8211316125996143";""
"8451085725334568";"http://lattes.cnpq.br/8451085725334568";""
"8702853591619017";"http://lattes.cnpq.br/8702853591619017";""
"8776880213288714";"http://lattes.cnpq.br/8776880213288714";""
"8790402631717302";"http://lattes.cnpq.br/8790402631717302";""
"8888325406003926";"http://lattes.cnpq.br/8888325406003926";""
"9131381830827015";"http://lattes.cnpq.br/9131381830827015";""
"9171106640611450";"http://lattes.cnpq.br/9171106640611450";""
"9241929289577776";"http://lattes.cnpq.br/9241929289577776";""
"9562407878346632";"http://lattes.cnpq.br/9562407878346632";""
"9721406029295912";"http://lattes.cnpq.br/9721406029295912";""
"9904404301531643";"http://lattes.cnpq.br/9904404301531643";""
